county,precinct,office,district,candidate,party,absentee_mail,early_voting,election_day,votes
Adair,10003,State Senate,3,DYLLON FITE,DEM,0,0,27,27
Adair,10003,FOR COUNTY SHERIFF,,JOHN R. BERRY,REP,6,4,56,66
Adair,10003,FOR COUNTY SHERIFF,,JASON RITCHIE,IND,2,0,69,71
Adair,10003,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,YES,,4,3,82,89
Adair,10003,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,NO,,4,1,38,43
Adair,10003,SUPREME COURT DISTRICT 6 - TOM COLBERT,,YES,,5,1,70,76
Adair,10003,SUPREME COURT DISTRICT 6 - TOM COLBERT,,NO,,3,3,50,56
Adair,10003,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,YES,,4,3,79,86
Adair,10003,SUPREME COURT DISTRICT 9 - RICHARD B. DARBY,,NO,,4,1,40,45
Adair,10003,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,YES,,4,3,73,80
Adair,10003,COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON,,NO,,4,1,46,51
Adair,10003,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,YES,,4,1,72,77
Adair,10003,COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN,,NO,,4,3,46,53
Adair,10003,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,YES,,3,0,64,67
Adair,10003,COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN,,NO,,5,4,54,63
Adair,10003,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,YES,,3,0,64,67
Adair,10003,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES,,NO,,5,4,54,63
Adair,10003,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,YES,,3,1,66,70
Adair,10003,COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP,,NO,,5,3,52,60
Adair,10003,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,FOR THE PROPOSAL - YES,,1,0,27,28
Adair,10003,STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421,,AGAINST THE PROPOSAL - NO,,7,4,100,111
Adair,10003,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,FOR THE PROPOSAL - YES,,4,2,47,53
Adair,10003,STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375,,AGAINST THE PROPOSAL - NO,,4,2,78,84
Adair,10004,President,,DONALD J. TRUMP | MICHAEL R. PENCE,REP,8,49,138,195
Adair,10004,President,,JO JORGENSEN | JEREMY SPIKE COHEN,LIB,0,1,1,2
Adair,10004,President,,JOSEPH R. BIDEN | KAMALA D. HARRIS,DEM,25,23,37,85
Adair,10004,President,,JADE SIMMONS | CLAUDELIAH J. ROZE,IND,0,0,0,0
Adair,10004,President,,KANYE WEST | MICHELLE TIDBALL,IND,0,0,2,2
Adair,10004,President,,BROCK PIERCE | KARLA BALLARD,IND,0,0,0,0
Adair,10004,Corporation Commissioner,,TODD HIETT,REP,16,52,146,214
Adair,10004,Corporation Commissioner,,TODD HAGOPIAN,LIB,17,17,24,58
Adair,10004,U.S. Senate,,JIM INHOFE,REP,10,41,124,175
Adair,10004,U.S. Senate,,ROBERT MURPHY,LIB,0,3,4,7
Adair,10004,U.S. Senate,,ABBY BROYLES,DEM,23,22,46,91
Adair,10004,U.S. Senate,,JOAN FARR,IND,1,4,2,7
Adair,10004,U.S. Senate,,A. D. NESBIT,IND,0,3,0,3
Adair,10004,U.S. House,2,MARKWAYNE MULLIN,REP,12,48,137,197
