bioguide_id	icpsr	chamber	state_abbrev	district	party_code	party_name	dw_nominate	dw_nominate2
L000579	21313	house	CA	47	100		-0.449	-0.384
V000130	21314	house	CA	51	100		-0.398	0.023
P000608	21315	house	CA	52	100		-0.193	-0.033
D000623	21504	house	CA	11	100		-0.514	-0.362
A000371	21506	house	CA	31	100		-0.323	0.14
L000582	21507	house	CA	33	100		-0.374	-0.205
T000474	21508	house	CA	35	100		-0.369	0.069
B001300	21703	house	CA	44	100		-0.502	-0.123
C001112	21709	house	CA	24	100		-0.325	0.102
C001110	21711	house	CA	46	100		-0.286	0.154
K000389	21728	house	CA	17	100		-0.456	-0.293
P000613	21740	house	CA	20	100		-0.29	0.189
G000585	21754	house	CA	34	100		-0.526	-0.259
H001090	21930	house	CA	10	100		-0.298	0.47
L000593	21939	house	CA	49	100		-0.317	0.162
P000618	21954	house	CA	45	100		-0.236	-0.332
G000061	21988	house	CA	25	200		0.356	0.097
J000305	22126	house	CA	53	100		-0.405	-0.426
K000397	22129	house	CA	39	200		0.255	0.374
O000019	22145	house	CA	8	200		0.316	0.284
S001135	22152	house	CA	48	200		0.37	0.275
C001128	22164	house	CA	22	200		0.376	0.295
W000187	29106	house	CA	43	100		-0.656	-0.095
E000215	29312	house	CA	18	100		-0.379	-0.372
R000486	29317	house	CA	40	100		-0.469	-0.171
C000059	29323	house	CA	42	200		0.339	0.276
L000397	29504	house	CA	19	100		-0.397	-0.402
S000344	29707	house	CA	30	100		-0.344	-0.137
L000551	29778	house	CA	13	100		-0.676	-0.582
T000460	29901	house	CA	5	100		-0.392	0.072
N000179	29903	house	CA	32	100		-0.448	-0.247
L000564	20704	house	CO	5	200		0.665	0.257
P000593	20705	house	CO	7	100		-0.282	0.072
B001297	21510	house	CO	4	200		0.655	-0.432
C001121	21912	house	CO	6	100		-0.356	0.199
N000191	21948	house	CO	2	100		-0.426	-0.101
B000825	22103	house	CO	3	200		0.736	-0.492
D000197	29710	house	CO	1	100		-0.431	-0.307
C001069	20706	house	CT	2	100		-0.337	0.041
H001047	20907	house	CT	4	100		-0.241	-0.21
H001081	21931	house	CT	5	100		-0.327	-0.05
D000216	29109	house	CT	3	100		-0.414	-0.108
L000557	29908	house	CT	1	100		-0.396	-0.039
B001303	21706	house	DE	1	100		-0.38	-0.137
N000147	21993	house	DC	0	100		-0.491	-0.114
D000600	20316	house	FL	25	200		0.281	0.158
W000797	20504	house	FL	23	100		-0.415	0.102
C001066	20708	house	FL	14	100		-0.438	0.072
B001260	20709	house	FL	16	200		0.361	-0.083
B001257	20758	house	FL	12	200		0.423	-0.03
P000599	20909	house	FL	8	200		0.533	-0.353
D000610	20959	house	FL	22	100		-0.401	-0.078
W000806	21116	house	FL	11	200		0.524	-0.079
W000808	21118	house	FL	24	100		-0.477	-0.006
F000462	21321	house	FL	21	100		-0.396	-0.024
C001111	21712	house	FL	13	100		-0.227	0.079
D000627	21713	house	FL	10	100		-0.322	-0.006
D000628	21714	house	FL	2	200		0.507	0.336
G000578	21719	house	FL	1	200		0.593	-0.643
L000586	21732	house	FL	5	100		-0.26	0.076
M001199	21735	house	FL	18	200		0.462	-0.346
M001202	21738	house	FL	7	100		-0.161	0.123
R000609	21744	house	FL	4	200		0.431	0.071
S001200	21746	house	FL	9	100		-0.349	0.197
S001214	21971	house	FL	17	200		0.693	-0.341
W000823	21981	house	FL	6	200		0.452	-0.113
C001039	22107	house	FL	3	200		0.592	-0.234
D000032	22111	house	FL	19	200		0.647	-0.27
F000472	22116	house	FL	15	200		0.624	0.191
G000593	22118	house	FL	26	200		0.331	0.136
S000168	22150	house	FL	27	200		0.272	0.162
C001127	22163	house	FL	20	100		-0.432	-0.031
H000324	29337	house	FL	20	100		-0.564	0.157
S001157	20321	house	GA	13	100		-0.304	0.168
J000288	20712	house	GA	4	100		-0.477	-0.053
S001189	21123	house	GA	8	200		0.537	0.363
