organization,pacs,honoree,date,amount_usd
ENERGY MARKETERS OF AMERICA,ENERGY MARKETERS OF AMERICA SMALL BUSINESS COMMITTEE PAC (EMA SBC PAC); Energy Marketers of America SBC PAC,Rep. Neal Dunn M.D.,2025-01-30,1500.00
AECOM,AECOM PAC,Richard Neal,2025-06-12,2500.00
DAVITA INC.,DaVita Inc. Political Action Committee (DaPAC),Rep. Neal Dunn,2025-01-28,2500.00
DAVITA INC.,DaVita Inc. Political Action Committee (DaPAC),Rep. Neal Dunn,2025-03-25,2500.00
DAVITA INC.,DaVita Inc. Political Action Committee (DaPAC),Rep. Richard Neal,2025-03-25,5000.00
DAVITA INC.,DaVita Inc. Political Action Committee (DaPAC),Rep. Neal Dunn,2025-05-16,-2500.00
DAVITA INC.,DaVita Inc. Political Action Committee (DaPAC),Rep. Neal Dunn,2025-05-20,2500.00
"PHILIPS HOLDING USA, INC.",Philips North America LLC Political Action Committee,Congressman Neal Dunn,2025-03-26,1000.00
"PHILIPS HOLDING USA, INC.",Philips North America LLC Political Action Committee,Congressman Neal Dunn,2025-06-09,1000.00
EMPIRE CONSULTING GROUP,Congressional Black Caucus PAC,Rep. Richard E. Neal,2025-03-30,5000.00
BANK OF AMERICA CORPORATION,Bank of America Corporation Federal PAC; Bank of America Corporation State and Federal PAC,Richard Neal,2025-04-29,2500.00
GE HEALTHCARE TECHNOLOGIES INC.,GE HealthCare Technologies Inc. PAC,Rep. Neal Dunn,2025-03-20,1000.00
"WSP USA (FKA AS PARSONS BRINCKERHOFF, INC.)",WSP USA INC. PAC,Rep. Richard Neal,2025-04-02,2500.00
WELLS FARGO & COMPANY,Wells Fargo and Company Employee PAC (aka Wells Fargo Employee PAC); Wells Fargo and Company Employees Good Government Federal Fund II,Rep. Richard Neal,2025-06-25,1000.00
AMERICAN FEDERATION OF TEACHERS,"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION (AFTCOPE)",Congressional Richard Neal,2025-03-27,5000.00
CVS HEALTH (AND SUBSIDIARIES),CVS Health PAC,Rep. Richard Neal,2025-03-24,5000.00
EASTMAN CHEMICAL COMPANY,EastmanPAC-Political Action Committee of Eastman Chemical Company,Richard Neal,2025-03-20,5000.00
EASTMAN CHEMICAL COMPANY,EastmanPAC-Political Action Committee of Eastman Chemical Company,Richard Neal,2025-03-20,1000.00
INSURED RETIREMENT INSTITUTE,Insured Retirement Institute Political Action Committee (IRI PAC),Rep. Richard Neal,2025-06-24,5000.00
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL & TRANSPORTATION WORKERS",Int'l Assoc of Sheet Metal Air Rail &Transportation Workers,Congressman Richard Neal,2025-01-09,5000.00
"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL & TRANSPORTATION WORKERS",Int'l Assoc of Sheet Metal Air Rail &Transportation Workers,Richie Neal,2025-05-13,5000.00
INTEL CORPORATION,Intel Corporation Political Action Committee,Richard Neal,2025-03-14,5000.00
INTEL CORPORATION,Intel Corporation Political Action Committee,Richard Neal,2025-05-28,-1500.00
W. R. BERKLEY CORPORATION,W. R. Berkley Corporation Political Action Committee,Rep. Richard Neal,2025-01-08,2000.00
AMERICA'S PHYSICIAN GROUPS,Americas Physician Groups PAC,Rep Neal Dunn,2025-01-09,1000.00
AMERICA'S PHYSICIAN GROUPS,Americas Physician Groups PAC,Rep Neal Dunn,2025-04-25,1000.00
FRESENIUS MEDICAL CARE NORTH AMERICA,Fresenius Medical Care Holdings Inc Political Action Committee,Rep Neal Dunn,2025-02-11,2500.00
FRESENIUS MEDICAL CARE NORTH AMERICA,Fresenius Medical Care Holdings Inc Political Action Committee,Rep Richard E Neal,2025-02-11,5000.00
NIXON PEABODY LLP,Nixon Peabody LLP PAC,Rep. Richard Neal,2025-05-07,2500.00
"REINSURANCE GROUP OF AMERICA, INCORPORATED",RGA Reinsurance Company Federal PAC,Richard Neal,2025-06-25,1000.00
THE DUBERSTEIN GROUP INC.,,Richie Neal,2025-04-02,2500.00
THE DUBERSTEIN GROUP INC.,,Richie Neal,2025-02-21,2500.00
OGR,,Congressman Richie Neal,2025-03-30,5000.00
GENERAL MOTORS COMPANY,General Motors Company Political Action Committee (GM PAC),Rep. Richard Neal,2025-03-05,5000.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Richard Neal,2025-02-10,5000.00
AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS,American Institute of Certified Public Accountants Political Action Committee,Richard Neal,2025-03-18,2500.00
