county,precinct,office,district,party,candidate,votes
Carson City,113,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",301
Carson City,113,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",887
Carson City,113,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",646
Carson City,113,Secretary of State,,IAP,"Hansen, Janine",28
Carson City,113,State Treasurer,,IAP,"Hendrickson, Margaret",24
Carson City,113,Clerk-Recorder,,,"Hoen, William ""Scott""",623
Carson City,113,Lieutenant Governor,,IAP,"Hoge, William",13
Carson City,113,"Board of Supervisors, Ward 3",,,"Horton, Curtis",670
Carson City,113,State Senate,16,REP,"Krasner, Lisa",764
Carson City,113,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",433
Carson City,113,U.S. Senate,,REP,"Laxalt, Adam Paul",700
Carson City,113,U.S. Senate,,NPP,"Lindemann, Barry",15
Carson City,113,Governor,,REP,"Lombardo, Joe",715
Carson City,113,Secretary of State,,REP,"Marchant, Jim",657
Carson City,113,State Controller,,REP,"Matthews, Andy",714
Carson City,113,State Assembly,40,DEM,"McDaniel, Shannon C.",447
Carson City,113,"Supreme Court Justice, Seat A",,,None Of These Candidates,250
Carson City,113,"Supreme Court Justice, Seat E",,,None Of These Candidates,233
Carson City,113,Attorney General,,,None Of These Candidates,47
Carson City,113,State Controller,,,None Of These Candidates,30
Carson City,113,Secretary of State,,,None Of These Candidates,26
Carson City,113,State Treasurer,,,None Of These Candidates,35
Carson City,113,Lieutenant Governor,,,None Of These Candidates,31
Carson City,113,Governor,,,None Of These Candidates,17
Carson City,113,U.S. Senate,,,None Of These Candidates,19
Carson City,113,"Court of Appeals Judge, Department 3",,,None Of These Candidates,274
Carson City,113,"Court of Appeals Judge, Department 2",,,None Of These Candidates,239
Carson City,113,"Court of Appeals Judge, Department 1",,,None Of These Candidates,288
Carson City,113,State Assembly,40,REP,"O'Neill, Philip ""PK""",727
Carson City,113,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",900
Carson City,113,State Controller,,LIB,"Profeta, Jed W.",22
Carson City,113,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",565
Carson City,113,U.S. Senate,,IAP,"RUBINSON, BARRY",6
Carson City,113,U.S. Senate,,LIB,"Scott, Neil",7
Carson City,113,State Senate,16,DEM,"Sims, Aaron",442
Carson City,113,Governor,,DEM,"SISOLAK, Steve",476
Carson City,113,State Controller,,DEM,"Spiegel, Ellen",459
Carson City,113,"School Trustee, District 1",,,"Stinson, Jason",567
Carson City,113,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",13
Carson City,113,State Assembly,40,LIB,"Toll, Sam",41
Carson City,113,"School Trustee, District 6",,,"Walt, Molly",609
Carson City,113,"Board of Supervisors, Ward 3",,,"Wells, James R.",434
Carson City,113,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",535
Carson City,113,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",516
Carson City,201,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",364
Carson City,201,U.S. House,2,REP,"Amodei, Mark E.",462
Carson City,201,Lieutenant Governor,,REP,"Anthony, Stavros",404
Carson City,201,U.S. House,2,LIB,"Baber, Darryl",13
Carson City,201,"Supreme Court Justice, Seat A",,,"Bell, Linda",563
Carson City,201,U.S. House,2,IAP,"Best, Russell",24
Carson City,201,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",338
Carson City,201,Governor,,IAP,"Bridges, Ed",24
Carson City,201,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",541
Carson City,201,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",327
Carson City,201,Attorney General,,REP,"Chattah, Sigal",344
Carson City,201,"School Trustee, District 6",,,"Cobb-Adams, Shanna",347
Carson City,201,State Treasurer,,DEM,"Conine, Zach",341
Carson City,201,U.S. Senate,,DEM,"Cortez Masto, Catherine",360
Carson City,201,Secretary of State,,LIB,"Crane, Ross",13
Carson City,201,Governor,,LIB,"Davis, Brandon",18
Carson City,201,Lieutenant Governor,,NPP,"Delap, John ""Trey""",18
Carson City,201,State Treasurer,,LIB,"Elliott, Bryan",19
Carson City,201,State Treasurer,,REP,"Fiore, Michele",389
Carson City,201,Attorney General,,DEM,"Ford, Aaron D.",392
Carson City,201,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",184
Carson City,201,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",575
Carson City,201,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",410
Carson City,201,Secretary of State,,IAP,"Hansen, Janine",41
Carson City,201,State Treasurer,,IAP,"Hendrickson, Margaret",36
Carson City,201,Clerk-Recorder,,,"Hoen, William ""Scott""",394
Carson City,201,Lieutenant Governor,,IAP,"Hoge, William",14
Carson City,201,"Board of Supervisors, Ward 3",,,"Horton, Curtis",426
Carson City,201,State Senate,16,REP,"Krasner, Lisa",463
Carson City,201,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",322
Carson City,201,U.S. Senate,,REP,"Laxalt, Adam Paul",400
Carson City,201,U.S. Senate,,NPP,"Lindemann, Barry",17
Carson City,201,Governor,,REP,"Lombardo, Joe",409
Carson City,201,Secretary of State,,REP,"Marchant, Jim",379
Carson City,201,State Controller,,REP,"Matthews, Andy",426
Carson City,201,State Assembly,40,DEM,"McDaniel, Shannon C.",345
Carson City,201,"Supreme Court Justice, Seat A",,,None Of These Candidates,196
Carson City,201,"Supreme Court Justice, Seat E",,,None Of These Candidates,196
Carson City,201,"Court of Appeals Judge, Department 2",,,None Of These Candidates,178
Carson City,201,"Court of Appeals Judge, Department 1",,,None Of These Candidates,199
Carson City,201,Attorney General,,,None Of These Candidates,42
Carson City,201,Secretary of State,,,None Of These Candidates,19
Carson City,201,State Treasurer,,,None Of These Candidates,28
Carson City,201,State Controller,,,None Of These Candidates,22
Carson City,201,Lieutenant Governor,,,None Of These Candidates,31
Carson City,201,Governor,,,None Of These Candidates,26
Carson City,201,U.S. Senate,,,None Of These Candidates,25
Carson City,201,"Court of Appeals Judge, Department 3",,,None Of These Candidates,211
Carson City,201,State Assembly,40,REP,"O'Neill, Philip ""PK""",443
Carson City,201,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",558
Carson City,201,State Controller,,LIB,"Profeta, Jed W.",19
Carson City,201,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",381
Carson City,201,U.S. Senate,,IAP,"RUBINSON, BARRY",10
Carson City,201,U.S. Senate,,LIB,"Scott, Neil",11
Carson City,201,State Senate,16,DEM,"Sims, Aaron",345
Carson City,201,Governor,,DEM,"SISOLAK, Steve",345
Carson City,201,State Controller,,DEM,"Spiegel, Ellen",346
Carson City,201,"School Trustee, District 1",,,"Stinson, Jason",366
Carson City,201,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",15
Carson City,201,State Assembly,40,LIB,"Toll, Sam",28
Carson City,201,"School Trustee, District 6",,,"Walt, Molly",385
Carson City,201,"Board of Supervisors, Ward 3",,,"Wells, James R.",309
Carson City,201,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",372
Carson City,201,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",361
Carson City,203,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",510
Carson City,203,U.S. House,2,REP,"Amodei, Mark E.",543
Carson City,203,Lieutenant Governor,,REP,"Anthony, Stavros",499
Carson City,203,U.S. House,2,LIB,"Baber, Darryl",11
Carson City,203,"Supreme Court Justice, Seat A",,,"Bell, Linda",731
Carson City,203,U.S. House,2,IAP,"Best, Russell",20
Carson City,203,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",364
Carson City,203,Governor,,IAP,"Bridges, Ed",14
Carson City,203,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",706
Carson City,203,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",464
Carson City,203,Attorney General,,REP,"Chattah, Sigal",412
Carson City,203,"School Trustee, District 6",,,"Cobb-Adams, Shanna",398
Carson City,203,State Treasurer,,DEM,"Conine, Zach",496
Carson City,203,U.S. Senate,,DEM,"Cortez Masto, Catherine",500
Carson City,203,Secretary of State,,LIB,"Crane, Ross",8
Carson City,203,Governor,,LIB,"Davis, Brandon",16
Carson City,203,Lieutenant Governor,,NPP,"Delap, John ""Trey""",11
Carson City,203,State Treasurer,,LIB,"Elliott, Bryan",11
Carson City,203,State Treasurer,,REP,"Fiore, Michele",477
Carson City,203,Attorney General,,DEM,"Ford, Aaron D.",528
Carson City,203,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",238
Carson City,203,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",733
Carson City,203,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",589
Carson City,203,Secretary of State,,IAP,"Hansen, Janine",37
Carson City,203,State Treasurer,,IAP,"Hendrickson, Margaret",23
Carson City,203,Clerk-Recorder,,,"Hoen, William ""Scott""",415
Carson City,203,Lieutenant Governor,,IAP,"Hoge, William",15
Carson City,203,"Board of Supervisors, Ward 3",,,"Horton, Curtis",533
Carson City,203,State Senate,16,REP,"Krasner, Lisa",522
Carson City,203,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",449
Carson City,203,U.S. Senate,,REP,"Laxalt, Adam Paul",489
Carson City,203,U.S. Senate,,NPP,"Lindemann, Barry",14
Carson City,203,Governor,,REP,"Lombardo, Joe",492
Carson City,203,Secretary of State,,REP,"Marchant, Jim",446
Carson City,203,State Controller,,REP,"Matthews, Andy",506
Carson City,203,State Assembly,40,DEM,"McDaniel, Shannon C.",476
Carson City,203,"Supreme Court Justice, Seat A",,,None Of These Candidates,210
Carson City,203,"Supreme Court Justice, Seat E",,,None Of These Candidates,214
Carson City,203,"Court of Appeals Judge, Department 1",,,None Of These Candidates,212
Carson City,203,"Court of Appeals Judge, Department 3",,,None Of These Candidates,219
Carson City,203,"Court of Appeals Judge, Department 2",,,None Of These Candidates,198
Carson City,203,Attorney General,,,None Of These Candidates,40
Carson City,203,State Controller,,,None Of These Candidates,21
Carson City,203,State Treasurer,,,None Of These Candidates,18
Carson City,203,Governor,,,None Of These Candidates,17
Carson City,203,Lieutenant Governor,,,None Of These Candidates,19
Carson City,203,Secretary of State,,,None Of These Candidates,17
Carson City,203,U.S. Senate,,,None Of These Candidates,12
Carson City,203,State Assembly,40,REP,"O'Neill, Philip ""PK""",516
Carson City,203,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",725
Carson City,203,State Controller,,LIB,"Profeta, Jed W.",25
Carson City,203,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",562
Carson City,203,U.S. Senate,,IAP,"RUBINSON, BARRY",7
Carson City,203,U.S. Senate,,LIB,"Scott, Neil",4
Carson City,203,State Senate,16,DEM,"Sims, Aaron",485
Carson City,203,Governor,,DEM,"SISOLAK, Steve",487
Carson City,203,State Controller,,DEM,"Spiegel, Ellen",471
Carson City,203,"School Trustee, District 1",,,"Stinson, Jason",388
Carson City,203,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",15
Carson City,203,State Assembly,40,LIB,"Toll, Sam",21
Carson City,203,"School Trustee, District 6",,,"Walt, Molly",532
Carson City,203,"Board of Supervisors, Ward 3",,,"Wells, James R.",393
Carson City,203,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",488
Carson City,203,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",534
Carson City,205,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",492
Carson City,205,U.S. House,2,REP,"Amodei, Mark E.",621
Carson City,205,Lieutenant Governor,,REP,"Anthony, Stavros",561
Carson City,205,U.S. House,2,LIB,"Baber, Darryl",13
Carson City,205,"Supreme Court Justice, Seat A",,,"Bell, Linda",740
Carson City,205,U.S. House,2,IAP,"Best, Russell",13
Carson City,205,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",372
Carson City,205,Governor,,IAP,"Bridges, Ed",14
Carson City,205,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",702
Carson City,205,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",436
Carson City,205,Attorney General,,REP,"Chattah, Sigal",438
Carson City,205,"School Trustee, District 6",,,"Cobb-Adams, Shanna",393
Carson City,205,State Treasurer,,DEM,"Conine, Zach",470
Carson City,205,U.S. Senate,,DEM,"Cortez Masto, Catherine",489
Carson City,205,Secretary of State,,LIB,"Crane, Ross",12
Carson City,205,Governor,,LIB,"Davis, Brandon",23
Carson City,205,Lieutenant Governor,,NPP,"Delap, John ""Trey""",15
Carson City,205,State Treasurer,,LIB,"Elliott, Bryan",26
Carson City,205,State Treasurer,,REP,"Fiore, Michele",524
Carson City,205,Attorney General,,DEM,"Ford, Aaron D.",521
Carson City,205,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",251
Carson City,205,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",748
Carson City,205,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",576
Carson City,205,Secretary of State,,IAP,"Hansen, Janine",18
Carson City,205,State Treasurer,,IAP,"Hendrickson, Margaret",17
Carson City,205,Clerk-Recorder,,,"Hoen, William ""Scott""",481
Carson City,205,Lieutenant Governor,,IAP,"Hoge, William",10
Carson City,205,"Board of Supervisors, Ward 3",,,"Horton, Curtis",546
Carson City,205,State Senate,16,REP,"Krasner, Lisa",606
Carson City,205,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",418
Carson City,205,U.S. Senate,,REP,"Laxalt, Adam Paul",543
Carson City,205,U.S. Senate,,NPP,"Lindemann, Barry",14
Carson City,205,Governor,,REP,"Lombardo, Joe",575
Carson City,205,Secretary of State,,REP,"Marchant, Jim",526
Carson City,205,State Controller,,REP,"Matthews, Andy",575
Carson City,205,State Assembly,40,DEM,"McDaniel, Shannon C.",418
Carson City,205,"Supreme Court Justice, Seat A",,,None Of These Candidates,235
Carson City,205,Attorney General,,,None Of These Candidates,48
Carson City,205,State Controller,,,None Of These Candidates,33
Carson City,205,"Court of Appeals Judge, Department 3",,,None Of These Candidates,263
Carson City,205,"Court of Appeals Judge, Department 2",,,None Of These Candidates,225
Carson City,205,"Supreme Court Justice, Seat E",,,None Of These Candidates,228
Carson City,205,"Court of Appeals Judge, Department 1",,,None Of These Candidates,238
Carson City,205,Secretary of State,,,None Of These Candidates,10
Carson City,205,State Treasurer,,,None Of These Candidates,18
Carson City,205,Governor,,,None Of These Candidates,13
Carson City,205,Lieutenant Governor,,,None Of These Candidates,21
Carson City,205,U.S. Senate,,,None Of These Candidates,7
Carson City,205,State Assembly,40,REP,"O'Neill, Philip ""PK""",594
Carson City,205,"Supreme Court Justice, Seat E",,,"Parraguirre, Ron D.",752
Carson City,205,State Controller,,LIB,"Profeta, Jed W.",15
Carson City,205,"School Trustee, District 1",,,"Ramirez, Maria ""Lupe""",573
Carson City,205,U.S. Senate,,IAP,"RUBINSON, BARRY",4
Carson City,205,U.S. Senate,,LIB,"Scott, Neil",10
Carson City,205,State Senate,16,DEM,"Sims, Aaron",437
Carson City,205,Governor,,DEM,"SISOLAK, Steve",439
Carson City,205,State Controller,,DEM,"Spiegel, Ellen",431
Carson City,205,"School Trustee, District 1",,,"Stinson, Jason",399
Carson City,205,Lieutenant Governor,,LIB,"Tachiquin, Javi ""Trujillo""",16
Carson City,205,State Assembly,40,LIB,"Toll, Sam",35
Carson City,205,"School Trustee, District 6",,,"Walt, Molly",543
Carson City,205,"Board of Supervisors, Ward 3",,,"Wells, James R.",394
Carson City,205,"Court of Appeals Judge, Department 1",,,"Westbrook, Deborah",490
Carson City,205,Clerk-Recorder,,,"Wilke-McCulloch, Stacie",475
Carson City,207,Secretary of State,,DEM,"Aguilar, Francisco ""Cisco""",383
Carson City,207,U.S. House,2,REP,"Amodei, Mark E.",539
Carson City,207,Lieutenant Governor,,REP,"Anthony, Stavros",485
Carson City,207,U.S. House,2,LIB,"Baber, Darryl",3
Carson City,207,"Supreme Court Justice, Seat A",,,"Bell, Linda",623
Carson City,207,U.S. House,2,IAP,"Best, Russell",13
Carson City,207,"Board of Supervisors, Ward 1",,,"Bradshaw, Wade",341
Carson City,207,Governor,,IAP,"Bridges, Ed",10
Carson City,207,"Court of Appeals Judge, Department 3",,,"Bulla, Bonnie",590
Carson City,207,Lieutenant Governor,,DEM,"Cano Burkhead, Elizabeth ""Lisa""",337
Carson City,207,Attorney General,,REP,"Chattah, Sigal",372
Carson City,207,"School Trustee, District 6",,,"Cobb-Adams, Shanna",348
Carson City,207,State Treasurer,,DEM,"Conine, Zach",344
Carson City,207,U.S. Senate,,DEM,"Cortez Masto, Catherine",376
Carson City,207,Secretary of State,,LIB,"Crane, Ross",5
Carson City,207,Governor,,LIB,"Davis, Brandon",12
Carson City,207,Lieutenant Governor,,NPP,"Delap, John ""Trey""",5
Carson City,207,State Treasurer,,LIB,"Elliott, Bryan",17
Carson City,207,State Treasurer,,REP,"Fiore, Michele",469
Carson City,207,Attorney General,,DEM,"Ford, Aaron D.",424
Carson City,207,"Court of Appeals Judge, Department 1",,,"Forsberg, Rhonda K.",203
Carson City,207,"Court of Appeals Judge, Department 2",,,"Gibbons, Michael",625
Carson City,207,"Board of Supervisors, Ward 1",,,"Giomi, Stacey",440
Carson City,207,Secretary of State,,IAP,"Hansen, Janine",28
Carson City,207,State Treasurer,,IAP,"Hendrickson, Margaret",22
Carson City,207,Clerk-Recorder,,,"Hoen, William ""Scott""",404
Carson City,207,Lieutenant Governor,,IAP,"Hoge, William",14
Carson City,207,"Board of Supervisors, Ward 3",,,"Horton, Curtis",433
Carson City,207,State Senate,16,REP,"Krasner, Lisa",525
Carson City,207,U.S. House,2,DEM,"Krause, Elizabeth Mercedes",334
Carson City,207,U.S. Senate,,REP,"Laxalt, Adam Paul",470
Carson City,207,U.S. Senate,,NPP,"Lindemann, Barry",5
Carson City,207,Governor,,REP,"Lombardo, Joe",477
Carson City,207,Secretary of State,,REP,"Marchant, Jim",449
Carson City,207,State Controller,,REP,"Matthews, Andy",492
Carson City,207,State Assembly,40,DEM,"McDaniel, Shannon C.",347
Carson City,207,"Supreme Court Justice, Seat A",,,None Of These Candidates,204
Carson City,207,"Supreme Court Justice, Seat E",,,None Of These Candidates,217
Carson City,207,"Court of Appeals Judge, Department 2",,,None Of These Candidates,193
Carson City,207,"Court of Appeals Judge, Department 1",,,None Of These Candidates,216
Carson City,207,Attorney General,,,None Of These Candidates,50
Carson City,207,"Court of Appeals Judge, Department 3",,,None Of These Candidates,226
Carson City,207,Secretary of State,,,None Of These Candidates,21
Carson City,207,State Treasurer,,,None Of These Candidates,34
Carson City,207,State Controller,,,None Of These Candidates,39
Carson City,207,Lieutenant Governor,,,None Of These Candidates,28
Carson City,207,Governor,,,None Of These Candidates,27
