town,ward,precinct,office,district,party,candidate,votes
Northampton,3,B,U.S. Senate,,Democratic,Edward J. Markey,612
Cambridge,4,2,U.S. Senate,,Republican,Kevin J. O'Connor,10
Wilbraham,,A,U.S. House,1st,Democratic,Alex B. Morse,249
TOTALS,,,State House,2nd Suffolk,Democratic,Damali Vidot,3246
Springfield,8,A,U.S. House,1st,Democratic,Total Votes Cast,399
Bellingham,,3,U.S. Senate,,Republican,All Others,2
Westfield,5,B,U.S. House,1st,Democratic,Blanks,7
Petersham,,1,Governor's Council,7th,Democratic,Paul M. Depalo,207
Middleborough,,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",313
Quincy,4,2,State Senate,Norfolk and Plymouth,Democratic,John F. Keenan,634
Palmer,,3,U.S. House,1st,Democratic,Total Votes Cast,480
Charlemont,,1,Governor's Council,8th,Democratic,Mary E. Hurley,280
Chelsea,1,3,State Senate,Middlesex and Suffolk,Democratic,All Others,0
Hamilton,,3,U.S. Senate,,Republican,Shiva Ayyadurai,36
Brockton,4,D,Governor's Council,4th,Democratic,All Others,5
Leominster,1,C,State Senate,Worcester and Middlesex,Republican,Total Votes Cast,114
Chelsea,2,3,State House,2nd Suffolk,Democratic,Damali Vidot,91
Upton,,2,U.S. Senate,,Republican,Blanks,6
Arlington,,8,U.S. Senate,,Republican,All Others,0
Everett,1,1,U.S. House,7th,Republican,All Others,18
Medford,6,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",354
Yarmouth,,3,State House,1st Barnstable,Democratic,Blanks,145
Wrentham,,3,U.S. Senate,,Republican,All Others,1
Taunton,1,A,U.S. House,,Democratic,Jake Auchincloss,77
Boston,12,3,U.S. Senate,,Libertarian,All Others,0
Beverly,4,1,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Eastham,,1,Governor's Council,1st,Democratic,Joseph C. Ferreira,1415
Attleboro,5,B,State Senate,Bristol and Norfolk,Democratic,Blanks,107
Boston,8,4,U.S. Senate,,Republican,Blanks,0
Huntington,,1,U.S. Senate,,Republican,Kevin J. O'Connor,75
Mattapoisett,,1,State Senate,2nd Bristol and Plymouth,Democratic,Blanks,282
Randolph,,8,U.S. Senate,,Democratic,Total Votes Cast,702
Ashburnham,,1,U.S. Senate,,Democratic,Blanks,44
Milford,,4,U.S. House,,Democratic,Ihssane Leckey,41
Milford,,1,State Senate,Worcester and Norfolk,Republican,Ryan C. Fattman,87
Lowell,11,2,U.S. House,3rd,Democratic,All Others,4
Revere,2,3,U.S. House,5th,Libertarian,Blanks,0
Fitchburg,5,A,U.S. Senate,,Democratic,Blanks,4
Worcester,3,4,U.S. Senate,,Republican,All Others,0
Mashpee,,5,U.S. House,9th,Democratic,All Others,0
Marshfield,,3,State Senate,Plymouth and Norfolk,Democratic,Blanks,175
Boston,7,5,State House,4th Suffolk,Democratic,David Biele,334
Easton,,2,State House,11th Plymouth,Democratic,All Others,4
Andover,,1,U.S. Senate,,Democratic,Total Votes Cast,798
Chicopee,6,BE,U.S. Senate,,Democratic,Total Votes Cast,584
Leominster,2,C,U.S. Senate,,Democratic,Edward J. Markey,79
Fall River,8,A,U.S. House,,Democratic,Becky Grossman,62
Peabody,5,2,U.S. House,6th,Democratic,Seth W. Moulton,360
Boston,12,4,U.S. Senate,,Libertarian,All Others,0
Boston,16,12,U.S. Senate,,Libertarian,Total Votes Cast,0
Brookline,,6,U.S. House,,Democratic,Alan A. Khazei,125
Needham,,I,U.S. Senate,,Republican,Kevin J. O'Connor,62
Boston,1,2,U.S. House,7th,Democratic,Blanks,39
Falmouth,,6,U.S. Senate,,Libertarian,Blanks,0
Ipswich,,2,U.S. Senate,,Democratic,Blanks,2
Lakeville,,1,State Senate,1st Bristol and Plymouth,Democratic,Blanks,126
Quincy,2,4,U.S. House,8th,Democratic,Blanks,36
Blandford,,1,Governor's Council,8th,Democratic,All Others,0
Lowell,3,2,U.S. Senate,,Republican,Kevin J. O'Connor,20
Worcester,9,2,U.S. Senate,,Republican,Kevin J. O'Connor,63
Franklin,,6,U.S. House,,Democratic,Becky Grossman,165
Taunton,3,B,U.S. House,,Democratic,Natalia Linos,65
Dartmouth,,7,State Senate,2nd Bristol and Plymouth,Democratic,Blanks,131
Holyoke,7,B,State Senate,2nd Hampden and Hampshire,Democratic,Blanks,254
E. Bridgewater,,3,State Senate,2nd Plymouth and Bristol,Democratic,Total Votes Cast,642
Medfield,,4,U.S. Senate,,Libertarian,Blanks,0
Fitchburg,6,A,U.S. Senate,,Democratic,Edward J. Markey,227
Chelsea,3,4,U.S. House,7th,Republican,Blanks,31
Waltham,7,2,Governor's Council,3rd,Democratic,All Others,2
Abington,,2,Governor's Council,4th,Democratic,Blanks,120
Winthrop,,6,U.S. House,5th,Democratic,Blanks,102
Medfield,,3,State Senate,Bristol and Norfolk,Democratic,All Others,0
Franklin,,6,State House,10th Norfolk,Republican,Blanks,151
Natick,,9,U.S. House,5th,Republican,Total Votes Cast,113
Montague,,3,U.S. Senate,,Libertarian,Blanks,0
Holyoke,5,B,State Senate,2nd Hampden and Hampshire,Republican,Total Votes Cast,75
Waltham,1,1,U.S. House,5th,Republican,Caroline Colarusso,104
Hamilton,,1,U.S. Senate,,Democratic,Edward J. Markey,456
Westfield,1,B,State Senate,2nd Hampden and Hampshire,Democratic,Blanks,16
Danvers,,8,State Senate,2nd Essex,Democratic,Joan B. Lovely,556
Wilmington,,3,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",299
Springfield,8,C,State Senate,Hampden,Democratic,All Others,0
Boston,21,9,Governor's Council,3rd,Democratic,Blanks,123
Holden,,5,U.S. Senate,,Libertarian,Blanks,0
Boston,4,4,State Senate,2nd Suffolk,Democratic,Sonia Rosa Chang-D?az,576
Medford,1,2,State House,35th Middlesex,Democratic,All Others,0
Taunton,8,A,State House,3rd Bristol,Special Democratic,All Others,3
Weymouth,,16,U.S. House,8th,Democratic,Stephen F. Lynch,560
Boston,5,11,State Senate,1st Suffolk and Middlesex,Democratic,All Others,2
Marshfield,,1,U.S. Senate,,Democratic,Edward J. Markey,391
Boston,9,5,Governor's Council,4th,Democratic,All Others,8
Marshfield,,1,U.S. House,9th,Democratic,All Others,0
Chelsea,1,4,U.S. House,7th,Republican,Blanks,6
Clinton,,4,U.S. Senate,,Democratic,Blanks,4
Boston,14,10,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",320
Chicopee,1,A,U.S. Senate,,Republican,Blanks,4
Beverly,6,2,U.S. House,6th,Democratic,Seth W. Moulton,625
Brockton,4,B,State House,10th Plymouth,Democratic,John F. Lally,163
Belmont,,6,State Senate,2nd Suffolk and Middlesex,Democratic,Blanks,137
Saugus,,10,State House,16th Suffolk,Republican,All Others,1
Danvers,,4,U.S. House,6th,Democratic,All Others,0
Attleboro,1,A,U.S. Senate,,Republican,All Others,0
Easton,,4,U.S. House,,Democratic,Alan A. Khazei,98
TOTALS,,,State House,10th Hampden,Democratic,Carlos Gonzalez,4595
Boston,16,11,U.S. House,7th,Republican,Rayla Campbell,4
Lynn,7,1,State Senate,3rd Essex,Republican,Carlos Armando Hernandez,0
N. Andover,,3,U.S. House,6th,Republican,Blanks,35
Acushnet,,1,State House,11th Bristol,Democratic,Total Votes Cast,490
Revere,3,2,State House,19th Suffolk,Democratic,Total Votes Cast,332
Lawrence,E,3,U.S. Senate,,Libertarian,Blanks,0
Haverhill,3,3,U.S. House,3rd,Democratic,Blanks,53
Medford,6,1,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
TOTALS,,,State House,3rd Berkshire,Democratic,Tricia Farley-Bouvier,7467
Burlington,,2,U.S. Senate,,Republican,Blanks,0
Middleton,,2,Governor's Council,5th,Democratic,Eileen R. Duff,632
Bridgewater,,5,State House,8th Plymouth,Republican,All Others,0
Saugus,,10,U.S. Senate,,Libertarian,Vermin Love Supreme,1
Boston,7,5,U.S. Senate,,Republican,Shiva Ayyadurai,13
Raynham,,1,State House,8th Plymouth,Republican,Total Votes Cast,166
Franklin,,2,State Senate,"Norfolk, Bristol and Middlesex",Republican,All Others,1
Holyoke,2,B,U.S. Senate,,Libertarian,Total Votes Cast,1
Seekonk,,1,U.S. House,,Democratic,Ihssane Leckey,92
N. Attleborough,,5,U.S. House,,Democratic,Jesse R. Mermell,57
Boston,21,8,U.S. Senate,,Republican,Total Votes Cast,18
Sandwich,,2,U.S. Senate,,Republican,Kevin J. O'Connor,253
Walpole,,3,Governor's Council,2nd,Democratic,Blanks,237
Waltham,6,1,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
Salem,5,2,U.S. House,6th,Republican,All Others,2
Cambridge,3,1,State Senate,Middlesex and Suffolk,Democratic,Sal N. DiDomenico,757
Fairhaven,,4,U.S. Senate,,Libertarian,All Others,1
Shrewsbury,,8,U.S. Senate,,Republican,All Others,1
Framingham,,9,U.S. Senate,,Libertarian,Total Votes Cast,7
Lawrence,D,2,U.S. Senate,,Democratic,Total Votes Cast,277
Worcester,8,5,Governor's Council,7th,Democratic,Total Votes Cast,323
Hudson,,3,State Senate,Middlesex and Worcester,Democratic,Blanks,80
Bridgewater,,3,Governor's Council,1st,Democratic,Total Votes Cast,838
Brookline,,10,State House,15th Norfolk,Democratic,All Others,5
Haverhill,3,3,Governor's Council,5th,Democratic,Total Votes Cast,377
Springfield,8,G,U.S. Senate,,Libertarian,All Others,0
TOTALS,,,U.S. House,9th,Republican,Helen Brady,36238
Taunton,8,A,U.S. House,,Democratic,Alan A. Khazei,66
Pittsfield,6,A,State Senate,"Berkshire, Hampshire, Franklin & Hampden",Democratic,Adam G. Hinds,713
N. Andover,,8,State Senate,1st Essex and Middlesex,Republican,All Others,3
Raynham,,3,State Senate,1st Plymouth and Bristol,Democratic,Marc R. Pacheco,472
Mansfield,,4,State Senate,Bristol and Norfolk,Democratic,Blanks,137
Oak Bluffs,,1,U.S. House,9th,Democratic,Total Votes Cast,1291
Lunenburg,,C,State House,37th Middlesex,Special Democratic,Dina M. Samfield,319
Boston,18,11,U.S. Senate,,Democratic,All Others,1
Uxbridge,,4,U.S. Senate,,Libertarian,Blanks,4
New Ashford,,1,U.S. Senate,,Republican,Blanks,0
Springfield,6,H,U.S. Senate,,Democratic,Blanks,4
Malden,2,2,U.S. Senate,,Democratic,Edward J. Markey,442
Norwell,,1,U.S. Senate,,Republican,Kevin J. O'Connor,192
Newton,6,2,U.S. House,,Democratic,Becky Grossman,152
Gloucester,3,1,U.S. Senate,,Republican,Kevin J. O'Connor,57
Millis,,2,U.S. Senate,,Democratic,All Others,1
Waltham,5,2,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
Boxford,,2,U.S. House,6th,Democratic,Total Votes Cast,641
Sturbridge,,3,State House,1st Hampden,Republican,All Others,0
Revere,4,3,U.S. Senate,,Republican,Total Votes Cast,105
Canton,,6,State House,6th Norfolk,Democratic,Tamisha L. Civil,263
Westborough,,4,U.S. Senate,,Republican,Total Votes Cast,200
Middleborough,,6,U.S. House,9th,Democratic,Bill Keating,395
Beverly,4,1,U.S. Senate,,Republican,Total Votes Cast,68
Lynnfield,,4,U.S. House,6th,Democratic,Seth W. Moulton,446
Springfield,7,B,Governor's Council,8th,Democratic,Mary E. Hurley,581
Brookline,,5,U.S. House,,Democratic,Benjamin R. Sigel,20
Dedham,,7,U.S. Senate,,Republican,Blanks,8
Lawrence,A,3,U.S. Senate,,Libertarian,All Others,3
Newton,2,1,Governor's Council,3rd,Democratic,Total Votes Cast,975
Framingham,,5,U.S. House,5th,Libertarian,Blanks,1
Stoneham,,2,U.S. House,5th,Libertarian,All Others,0
Chicopee,3,B,Governor's Council,8th,Democratic,Total Votes Cast,389
Cambridge,7,2,U.S. Senate,,Democratic,Blanks,1
Lawrence,D,4,U.S. Senate,,Democratic,All Others,0
Wayland,,2,State Senate,"Norfolk, Bristol and Middlesex",Democratic,All Others,3
Easthampton,,2,State House,2nd Hampshire,Democratic,Total Votes Cast,1217
Palmer,,1,U.S. Senate,,Libertarian,Total Votes Cast,2
Leominster,3,A,Governor's Council,7th,Democratic,All Others,0
Agawam,,2,State Senate,2nd Hampden and Hampshire,Democratic,Total Votes Cast,494
Attleboro,1,A,U.S. Senate,,Libertarian,Blanks,0
N. Adams,3,3,U.S. House,1st,Democratic,Blanks,5
Cheshire,,1,U.S. House,1st,Democratic,Alex B. Morse,227
Boston,2,1,State House,2nd Suffolk,Democratic,All Others,3
Bourne,,6,U.S. Senate,,Democratic,Total Votes Cast,666
Medway,,1,U.S. Senate,,Democratic,Edward J. Markey,337
Melrose,5,2,State House,32nd Middlesex,Special Democratic,Mathew Helman,12
New Bedford,6,A,U.S. Senate,,Republican,Total Votes Cast,77
Agawam,,1,U.S. Senate,,Democratic,Blanks,11
Shutesbury,,1,Governor's Council,8th,Democratic,All Others,1
E. Bridgewater,,3,U.S. Senate,,Republican,Blanks,5
TOTALS,,,State House,3rd Hampshire,Democratic,Total Votes Cast,8354
Quincy,4,3,U.S. Senate,,Democratic,All Others,1
Boston,20,12,State House,10th Suffolk,Democratic,Edward F. Coppinger,378
Beverly,4,1,U.S. Senate,,Democratic,Edward J. Markey,368
Medford,8,2,U.S. Senate,,Democratic,Blanks,6
Boxford,,3,U.S. Senate,,Republican,Shiva Ayyadurai,70
W. Springfield,,1,State House,6th Hampden,Democratic,All Others,0
Bedford,,4,U.S. House,6th,Democratic,All Others,1
Springfield,2,B,State House,9th Hampden,Democratic,Orlando Ramos,252
Wellesley,,A,U.S. Senate,,Libertarian,All Others,0
Bellingham,,3,U.S. House,,Democratic,Christopher Z. Zannetos,20
Norfolk,,2,U.S. House,,Democratic,Jake Auchincloss,241
TOTALS,,,State House,6th Bristol,Democratic,Total Votes Cast,5790
Wenham,,1,U.S. House,6th,Democratic,Jamie M. Belsito,125
Peabody,2,1,State Senate,2nd Essex,Democratic,Blanks,47
Fairhaven,,6,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",281
Newton,1,1,State Senate,1st Middlesex and Norfolk,Democratic,All Others,4
Sandwich,,3,U.S. House,9th,Republican,Blanks,102
Haverhill,2,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Somerville,7,3,U.S. House,7th,Democratic,Total Votes Cast,1127
Bridgewater,,5,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Westfield,3,B,State House,4th Hampden,Republican,Kelly W. Pease,145
Brookfield,,1,Governor's Council,7th,Democratic,Total Votes Cast,506
Agawam,,6,State House,3rd Hampden,Democratic,Total Votes Cast,572
Lynn,5,2,State Senate,3rd Essex,Republican,Carlos Armando Hernandez,0
Taunton,5,B,U.S. House,,Democratic,Jesse R. Mermell,35
Burlington,,1,State Senate,4th Middlesex,Democratic,Blanks,197
Boston,3,2,U.S. House,8th,Democratic,Robbie H. Goldstein,194
Weymouth,,9,State Senate,Plymouth and Norfolk,Democratic,All Others,2
Sterling,,2,U.S. Senate,,Libertarian,Total Votes Cast,8
Boston,22,3,Governor's Council,3rd,Democratic,All Others,8
S. Hadley,,A,State House,2nd Hampshire,Democratic,Total Votes Cast,927
Marlborough,2,2,U.S. Senate,,Republican,Total Votes Cast,123
W. Springfield,,4,Governor's Council,8th,Democratic,Mary E. Hurley,515
TOTALS,,,State House,4th Norfolk,Democratic,Total Votes Cast,10205
Barnstable,,6,U.S. House,9th,Republican,All Others,1
Waltham,7,1,State Senate,3rd Middlesex,Democratic,Total Votes Cast,800
Arlington,,7,Governor's Council,3rd,Democratic,Blanks,170
Weymouth,,11,U.S. Senate,,Republican,Shiva Ayyadurai,60
Walpole,,7,U.S. Senate,,Republican,Blanks,2
Melrose,1,1,U.S. House,5th,Libertarian,"Walter J. Ziobro, Jr",0
Cambridge,9,3,Governor's Council,6th,Democratic,Total Votes Cast,1215
Boston,9,2,U.S. Senate,,Republican,Kevin J. O'Connor,13
Gloucester,4,1,U.S. Senate,,Democratic,Edward J. Markey,380
Lynn,2,4,U.S. Senate,,Democratic,All Others,1
Boston,20,5,U.S. House,8th,Democratic,Stephen F. Lynch,417
Fall River,6,C1,U.S. Senate,,Republican,Shiva Ayyadurai,0
Leominster,4,A,U.S. House,2nd,Democratic,James P. McGovern,427
Norton,,1,State Senate,Bristol and Norfolk,Democratic,Total Votes Cast,649
Mansfield,,4,U.S. Senate,,Republican,All Others,0
Fall River,9,C,U.S. Senate,,Democratic,Edward J. Markey,156
Arlington,,13,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",208
Weston,,4,U.S. Senate,,Libertarian,Total Votes Cast,0
Paxton,,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,All Others,1
Stoneham,,2,State House,31st Middlesex,Democratic,Blanks,150
Northampton,2,B,U.S. Senate,,Republican,Total Votes Cast,7
Fitchburg,2,B,State House,3rd Worcester,Republican,Blanks,22
Melrose,6,2,U.S. Senate,,Republican,Kevin J. O'Connor,73
Billerica,,10,U.S. Senate,,Democratic,All Others,1
Mashpee,,4,U.S. Senate,,Democratic,All Others,1
Rehoboth,,2,U.S. House,,Democratic,Christopher Z. Zannetos,14
Beverly,6,2,U.S. House,6th,Democratic,Jamie M. Belsito,103
Gloucester,4,2,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,138
Revere,2,1,Governor's Council,6th,Democratic,Terrence W. Kennedy,192
Springfield,7,H,U.S. House,1st,Democratic,Alex B. Morse,85
Taunton,1,B,State Senate,1st Plymouth and Bristol,Democratic,Total Votes Cast,560
Holden,,3,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Natick,,10,State House,5th Middlesex,Democratic,David Paul Linsky,955
Monson,,B,State House,2nd Hampden,Democratic,Brian M. Ashe,514
Lawrence,E,3,State House,16th Essex,Democratic,Blanks,35
Quincy,2,1,State Senate,Norfolk and Plymouth,Democratic,All Others,0
Beverly,6,2,U.S. Senate,,Republican,All Others,0
Bedford,,3,U.S. House,6th,Democratic,Angus G. McQuilken,153
Boston,8,4,State House,9th Suffolk,Democratic,Jon Santiago,150
Dracut,,3,Governor's Council,5th,Democratic,Blanks,105
Fall River,5,A,State Senate,1st Bristol and Plymouth,Democratic,Blanks,28
Falmouth,,8,Governor's Council,1st,Democratic,All Others,2
Freetown,,1,U.S. House,,Democratic,Jake Auchincloss,118
Gardner,3,B,U.S. House,3rd,Democratic,Total Votes Cast,352
Duxbury,,4,State House,6th Plymouth,Democratic,Blanks,95
Swampscott,,1,U.S. Senate,,Republican,Blanks,2
Watertown,,8,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Billerica,,3,U.S. House,6th,Democratic,Total Votes Cast,725
Everett,2,2,State House,28th Middlesex,Democratic,All Others,4
Barnstable,,12,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",342
Westwood,,3,U.S. Senate,,Libertarian,Total Votes Cast,3
Seekonk,,1,State House,4th Bristol,Republican,Blanks,13
N. Attleborough,,8,State Senate,"Norfolk, Bristol and Middlesex",Republican,Matthew T. Kelly,172
Cambridge,8,1,U.S. House,5th,Republican,Caroline Colarusso,12
Haverhill,2,2,U.S. Senate,,Republican,Kevin J. O'Connor,66
Fall River,4,A,Governor's Council,1st,Democratic,Total Votes Cast,283
N. Adams,2,2,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",196
Springfield,5,A,Governor's Council,8th,Democratic,All Others,5
Malden,8,2,U.S. House,5th,Democratic,Total Votes Cast,604
Lowell,8,3,State House,18th Middlesex,Democratic,Rady Mom,525
Blandford,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",102
Belchertown,,A,U.S. House,2nd,Republican,All Others,4
Braintree,,2B,U.S. Senate,,Democratic,Edward J. Markey,386
Brockton,1,B,Governor's Council,4th,Democratic,Total Votes Cast,660
Lynnfield,,4,U.S. House,6th,Democratic,Angus G. McQuilken,31
Springfield,7,G,Governor's Council,8th,Democratic,Mary E. Hurley,509
Burlington,,4,U.S. Senate,,Republican,Blanks,2
Plainville,,2,Governor's Council,2nd,Democratic,All Others,0
Hardwick,,1,Governor's Council,7th,Democratic,Blanks,75
Newbury,,1,Governor's Council,5th,Democratic,Total Votes Cast,958
Agawam,,6,U.S. House,1st,Democratic,All Others,2
Orange,,1,State House,2nd Franklin,Democratic,William E. Larose,367
Bellingham,,3,U.S. Senate,,Democratic,Blanks,3
Waltham,5,1,State House,10th Middlesex,Democratic,Blanks,73
Bourne,,5,Governor's Council,1st,Democratic,Joseph C. Ferreira,530
Ludlow,,2,U.S. Senate,,Libertarian,Blanks,1
Sutton,,2,U.S. House,2nd,Republican,Tracy Lyn Lovvorn,197
Shrewsbury,,2,U.S. Senate,,Libertarian,Blanks,2
Clinton,,2,U.S. Senate,,Libertarian,Vermin Love Supreme,0
Harwich,,1,U.S. Senate,,Republican,Blanks,4
Cambridge,7,3,U.S. Senate,,Democratic,Total Votes Cast,288
Pittsfield,3,A,U.S. Senate,,Republican,Blanks,2
New Bedford,6,D,U.S. Senate,,Republican,Total Votes Cast,13
Peabody,4,3A,U.S. House,6th,Democratic,Seth W. Moulton,677
Templeton,,C,Governor's Council,7th,Democratic,Blanks,44
Gloucester,2,1,U.S. House,6th,Democratic,Seth W. Moulton,350
Revere,5,1A,State House,16th Suffolk,Republican,Total Votes Cast,64
Dalton,,1,U.S. Senate,,Democratic,"Joseph P. Kennedy, III",386
Winthrop,,1,U.S. Senate,,Republican,Blanks,1
Northborough,,4,U.S. Senate,,Democratic,Blanks,9
Reading,,2,U.S. Senate,,Libertarian,All Others,2
Springfield,6,E,U.S. House,1st,Democratic,All Others,0
Springfield,3,A,State House,11th Hampden,Republican,Total Votes Cast,8
Pittsfield,3,A,U.S. Senate,,Libertarian,Total Votes Cast,3
Peabody,1,3,U.S. Senate,,Republican,Kevin J. O'Connor,97
Braintree,,1B,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Total Votes Cast,640
Salem,3,2,U.S. Senate,,Republican,All Others,2
Northampton,2,A,U.S. House,2nd,Republican,Total Votes Cast,14
Melrose,3,1,U.S. House,5th,Libertarian,Blanks,1
