town,ward,precinct,office,district,party,candidate,votes
Cambridge,2,3,Governor's Council,6th,Democratic,Blanks,79
Worcester,8,2,Governor's Council,7th,Democratic,Total Votes Cast,178
New Bedford,5,B,State House,13th Bristol,Democratic,All Others,4
Northborough,,2,U.S. House,2nd,Republican,Total Votes Cast,195
New Bedford,4,C,U.S. House,9th,Democratic,Total Votes Cast,462
Needham,,C,Governor's Council,2nd,Democratic,Blanks,321
Dennis,,2,U.S. House,9th,Democratic,Bill Keating,787
Acushnet,,2,State Senate,2nd Bristol and Plymouth,Democratic,Total Votes Cast,541
Greenfield,,7,State Senate,"Hampshire, Franklin and Worcester",Democratic,Joanne M. Comerford,340
Framingham,,10,State Senate,2nd Middlesex and Norfolk,Democratic,Karen E. Spilka,458
Fitchburg,1,B,State House,3rd Worcester,Republican,Glenn C. Fossa,91
Boston,2,7,U.S. Senate,,Democratic,Blanks,14
