county,precinct_code,precinct,office,district,party,candidate,votes
Adams,324,Hatton Rural,President,,Democratic Party,John Delaney,0
Adams,324,Hatton Rural,President,,Democratic Party,Tulsi Gabbard,0
Adams,324,Hatton Rural,President,,Democratic Party,Amy Klobuchar,0
Adams,324,Hatton Rural,President,,Democratic Party,Deval Patrick,0
Adams,325,Cunningham,President,,Democratic Party,Michael Bennet,0
Adams,325,Cunningham,President,,Democratic Party,Bernie Sanders,8
Adams,325,Cunningham,President,,Democratic Party,Tom Steyer,0
Adams,325,Cunningham,President,,Democratic Party,Elizabeth Warren,0
Adams,325,Cunningham,President,,Democratic Party,Andrew Yang,0
Adams,325,Cunningham,President,,Democratic Party,Uncommitted Delegates,0
Adams,325,Cunningham,President,,Democratic Party,Joseph R. Biden,0
Adams,325,Cunningham,President,,Democratic Party,Michael Bloomberg,1
Adams,325,Cunningham,President,,Democratic Party,Cory Booker,0
Adams,325,Cunningham,President,,Democratic Party,Pete Buttigieg,0
Adams,325,Cunningham,President,,Democratic Party,Write-in,0
Adams,325,Cunningham,President,,Democratic Party,John Delaney,0
Adams,325,Cunningham,President,,Democratic Party,Tulsi Gabbard,0
Adams,325,Cunningham,President,,Democratic Party,Amy Klobuchar,0
Adams,325,Cunningham,President,,Democratic Party,Deval Patrick,0
Adams,411,Othello City #1,President,,Democratic Party,Michael Bennet,0
Adams,411,Othello City #1,President,,Democratic Party,Bernie Sanders,6
Adams,411,Othello City #1,President,,Democratic Party,Tom Steyer,0
Adams,411,Othello City #1,President,,Democratic Party,Elizabeth Warren,4
Adams,411,Othello City #1,President,,Democratic Party,Andrew Yang,0
Adams,411,Othello City #1,President,,Democratic Party,Uncommitted Delegates,0
Adams,411,Othello City #1,President,,Democratic Party,Joseph R. Biden,2
Adams,411,Othello City #1,President,,Democratic Party,Michael Bloomberg,5
Adams,411,Othello City #1,President,,Democratic Party,Cory Booker,0
Adams,411,Othello City #1,President,,Democratic Party,Pete Buttigieg,2
Adams,411,Othello City #1,President,,Democratic Party,Write-in,0
Adams,411,Othello City #1,President,,Democratic Party,John Delaney,0
Adams,411,Othello City #1,President,,Democratic Party,Tulsi Gabbard,1
Adams,411,Othello City #1,President,,Democratic Party,Amy Klobuchar,0
Adams,411,Othello City #1,President,,Democratic Party,Deval Patrick,0
Adams,412,Othello City #2,President,,Democratic Party,Michael Bennet,1
Adams,412,Othello City #2,President,,Democratic Party,Bernie Sanders,35
Adams,412,Othello City #2,President,,Democratic Party,Tom Steyer,0
Adams,412,Othello City #2,President,,Democratic Party,Elizabeth Warren,3
Adams,412,Othello City #2,President,,Democratic Party,Andrew Yang,0
Adams,412,Othello City #2,President,,Democratic Party,Uncommitted Delegates,1
Adams,412,Othello City #2,President,,Democratic Party,Joseph R. Biden,33
Adams,412,Othello City #2,President,,Democratic Party,Michael Bloomberg,11
Adams,412,Othello City #2,President,,Democratic Party,Cory Booker,0
Adams,412,Othello City #2,President,,Democratic Party,Pete Buttigieg,2
Adams,412,Othello City #2,President,,Democratic Party,Write-in,0
Adams,412,Othello City #2,President,,Democratic Party,John Delaney,1
Adams,412,Othello City #2,President,,Democratic Party,Tulsi Gabbard,0
Adams,412,Othello City #2,President,,Democratic Party,Amy Klobuchar,0
Adams,412,Othello City #2,President,,Democratic Party,Deval Patrick,0
Adams,413,Othello City #3,President,,Democratic Party,Michael Bennet,0
Adams,413,Othello City #3,President,,Democratic Party,Bernie Sanders,39
Adams,413,Othello City #3,President,,Democratic Party,Tom Steyer,0
Adams,413,Othello City #3,President,,Democratic Party,Elizabeth Warren,11
Adams,413,Othello City #3,President,,Democratic Party,Andrew Yang,0
Adams,413,Othello City #3,President,,Democratic Party,Uncommitted Delegates,0
Adams,413,Othello City #3,President,,Democratic Party,Joseph R. Biden,26
Adams,413,Othello City #3,President,,Democratic Party,Michael Bloomberg,10
Adams,413,Othello City #3,President,,Democratic Party,Cory Booker,0
Adams,413,Othello City #3,President,,Democratic Party,Pete Buttigieg,0
Adams,413,Othello City #3,President,,Democratic Party,Write-in,0
Adams,413,Othello City #3,President,,Democratic Party,John Delaney,0
Adams,413,Othello City #3,President,,Democratic Party,Tulsi Gabbard,2
Adams,413,Othello City #3,President,,Democratic Party,Amy Klobuchar,3
Adams,413,Othello City #3,President,,Democratic Party,Deval Patrick,0
Adams,414,Othello City #4,President,,Democratic Party,Michael Bennet,0
Adams,414,Othello City #4,President,,Democratic Party,Bernie Sanders,23
Adams,414,Othello City #4,President,,Democratic Party,Tom Steyer,0
Adams,414,Othello City #4,President,,Democratic Party,Elizabeth Warren,3
Adams,414,Othello City #4,President,,Democratic Party,Andrew Yang,0
Adams,414,Othello City #4,President,,Democratic Party,Uncommitted Delegates,0
Adams,414,Othello City #4,President,,Democratic Party,Joseph R. Biden,31
Adams,414,Othello City #4,President,,Democratic Party,Michael Bloomberg,10
Adams,414,Othello City #4,President,,Democratic Party,Cory Booker,0
Adams,414,Othello City #4,President,,Democratic Party,Pete Buttigieg,2
Adams,414,Othello City #4,President,,Democratic Party,Write-in,0
Adams,414,Othello City #4,President,,Democratic Party,John Delaney,0
Adams,414,Othello City #4,President,,Democratic Party,Tulsi Gabbard,0
Adams,414,Othello City #4,President,,Democratic Party,Amy Klobuchar,3
Adams,414,Othello City #4,President,,Democratic Party,Deval Patrick,1
Adams,415,Othello City #5,President,,Democratic Party,Michael Bennet,0
Adams,415,Othello City #5,President,,Democratic Party,Bernie Sanders,15
Adams,415,Othello City #5,President,,Democratic Party,Tom Steyer,1
Adams,415,Othello City #5,President,,Democratic Party,Elizabeth Warren,2
Adams,415,Othello City #5,President,,Democratic Party,Andrew Yang,2
Adams,415,Othello City #5,President,,Democratic Party,Uncommitted Delegates,1
Adams,415,Othello City #5,President,,Democratic Party,Joseph R. Biden,17
Adams,415,Othello City #5,President,,Democratic Party,Michael Bloomberg,13
Adams,415,Othello City #5,President,,Democratic Party,Cory Booker,0
Adams,415,Othello City #5,President,,Democratic Party,Pete Buttigieg,1
Adams,415,Othello City #5,President,,Democratic Party,Write-in,0
Adams,415,Othello City #5,President,,Democratic Party,John Delaney,0
Adams,415,Othello City #5,President,,Democratic Party,Tulsi Gabbard,0
Adams,415,Othello City #5,President,,Democratic Party,Amy Klobuchar,0
Adams,415,Othello City #5,President,,Democratic Party,Deval Patrick,0
Adams,416,Othello City #6,President,,Democratic Party,Michael Bennet,0
Adams,416,Othello City #6,President,,Democratic Party,Bernie Sanders,26
Adams,416,Othello City #6,President,,Democratic Party,Tom Steyer,0
Adams,416,Othello City #6,President,,Democratic Party,Elizabeth Warren,1
Adams,416,Othello City #6,President,,Democratic Party,Andrew Yang,0
Adams,416,Othello City #6,President,,Democratic Party,Uncommitted Delegates,0
Adams,416,Othello City #6,President,,Democratic Party,Joseph R. Biden,26
Adams,416,Othello City #6,President,,Democratic Party,Michael Bloomberg,14
Adams,416,Othello City #6,President,,Democratic Party,Cory Booker,0
Adams,416,Othello City #6,President,,Democratic Party,Pete Buttigieg,0
Adams,416,Othello City #6,President,,Democratic Party,Write-in,0
Adams,416,Othello City #6,President,,Democratic Party,John Delaney,1
Adams,416,Othello City #6,President,,Democratic Party,Tulsi Gabbard,1
Adams,416,Othello City #6,President,,Democratic Party,Amy Klobuchar,0
Adams,416,Othello City #6,President,,Democratic Party,Deval Patrick,0
Adams,511,Othello Rural #1,President,,Democratic Party,Michael Bennet,0
Adams,511,Othello Rural #1,President,,Democratic Party,Bernie Sanders,19
Adams,511,Othello Rural #1,President,,Democratic Party,Tom Steyer,0
Adams,511,Othello Rural #1,President,,Democratic Party,Elizabeth Warren,1
Adams,511,Othello Rural #1,President,,Democratic Party,Andrew Yang,0
Adams,511,Othello Rural #1,President,,Democratic Party,Uncommitted Delegates,0
Adams,511,Othello Rural #1,President,,Democratic Party,Joseph R. Biden,5
Adams,511,Othello Rural #1,President,,Democratic Party,Michael Bloomberg,9
Adams,511,Othello Rural #1,President,,Democratic Party,Cory Booker,0
Adams,511,Othello Rural #1,President,,Democratic Party,Pete Buttigieg,1
